# best_L1 average_L1
68.8714 69.1982
68.8714 69.0859
68.8714 68.9018
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
68.8714 68.8714
