#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         455   -0.369083   -0.413125  0.00617612
         456   -0.358911   -0.413006  0.00616372
         457   -0.347687   -0.412863  0.00615189
         458   -0.357575   -0.412742  0.00613964
         459   -0.381351   -0.412674  0.00612665
         460   -0.383657   -0.412611  0.00611365
         461   -0.381668   -0.412544  0.00610076
         462    -0.37551   -0.412464  0.00608808
         463   -0.376496   -0.412386  0.00607543
         464   -0.386882   -0.412331  0.00606258
         465    -0.39254   -0.412288  0.00604969
         466   -0.379483   -0.412218  0.00603712
         467   -0.390082   -0.412171  0.00602438
         468   -0.423948   -0.412196  0.00601156
         469   -0.438531   -0.412252    0.005999
         470   -0.416241    -0.41226  0.00598625
         471   -0.393898   -0.412221  0.00597366
         472   -0.384797   -0.412163  0.00596129
         473   -0.365156   -0.412064  0.00594952
         474   -0.397484   -0.412033  0.00593704
         475   -0.421027   -0.412052  0.00592457
         476   -0.447728   -0.412127   0.0059126
         477   -0.426734   -0.412158  0.00590029
         478   -0.417772   -0.412169  0.00588795
         479   -0.423599   -0.412193  0.00587571
         480   -0.408474   -0.412186  0.00586347
         481   -0.375152   -0.412109  0.00585179
         482   -0.346938   -0.411973  0.00584121
         483   -0.361501   -0.411869  0.00583005
         484   -0.350536   -0.411742  0.00581938
         485   -0.368758   -0.411654  0.00580806
         486   -0.380054   -0.411589  0.00579647
         487   -0.378751   -0.411521  0.00578496
         488   -0.378576   -0.411454   0.0057735
         489   -0.382371   -0.411394    0.005762
         490   -0.353855   -0.411277  0.00575144
         491   -0.358168   -0.411169  0.00574074
         492   -0.375644   -0.411096  0.00572953
         493   -0.397292   -0.411068  0.00571797
         494   -0.410648   -0.411067   0.0057064
         495   -0.419076   -0.411084  0.00569489
         496   -0.402999   -0.411067  0.00568344
         497   -0.395464   -0.411036  0.00567209
         498   -0.358915   -0.410931  0.00566166
         499   -0.323975   -0.410757    0.005653
         500   -0.317023    -0.41057   0.0056448
