# SA_step mu sigma
656 0.79621419 0.63227764
657 0.79842707 0.63961437
658 0.78923587 0.64878499
659 0.78239800 0.65114404
660 0.79113554 0.65976386
661 0.79985554 0.65924538
662 0.79407294 0.65964140
663 0.79656980 0.66304378
664 0.79239957 0.67085042
665 0.79971697 0.67306451
666 0.80319678 0.67558511
667 0.80843296 0.67213116
668 0.81134145 0.66366847
669 0.81009236 0.65714346
670 0.81141692 0.66432819
671 0.80815186 0.67270279
672 0.80160485 0.66277078
673 0.79855337 0.66466711
674 0.79855337 0.66466711
675 0.80239461 0.66956130
676 0.80047482 0.66387965
677 0.80422919 0.66924316
678 0.80422919 0.66924316
679 0.80798745 0.66973905
680 0.81549111 0.67972154
681 0.81858761 0.68251605
682 0.82420593 0.69203526
683 0.82664527 0.69085793
684 0.82664527 0.69085793
685 0.83494647 0.68460517
686 0.83139905 0.69018454
687 0.82980791 0.68813487
688 0.82980791 0.68813487
689 0.82077901 0.68829549
690 0.81089432 0.67842441
691 0.81522922 0.67996662
692 0.82407070 0.67378411
693 0.82407070 0.67378411
694 0.81983455 0.67693655
695 0.81406106 0.67653620
696 0.81406106 0.67653620
697 0.81406106 0.67653620
698 0.81406106 0.67653620
699 0.80820189 0.66938299
700 0.80795127 0.67545408
701 0.81137375 0.66656480
702 0.81638318 0.66551931
703 0.80862288 0.67429639
704 0.80744677 0.67844685
705 0.80432926 0.67478149
706 0.80817760 0.67719888
707 0.80817760 0.67719888
708 0.81463865 0.67426779
709 0.82261810 0.67048186
710 0.82099988 0.66688389
711 0.82641180 0.67192160
712 0.82701991 0.67667682
713 0.82407013 0.67252612
714 0.82191770 0.67486324
715 0.83189022 0.68139637
716 0.83474990 0.67389467
717 0.83818888 0.67941642
718 0.82830628 0.68428772
719 0.83240706 0.69175567
720 0.82372666 0.70039294
721 0.82372666 0.70039294
722 0.82474138 0.69714466
723 0.81723999 0.69900244
724 0.82065149 0.70126563
725 0.82065149 0.70126563
726 0.82238151 0.70174873
727 0.81280840 0.70470951
728 0.81310432 0.70584116
729 0.81273175 0.70581622
730 0.80712357 0.70230036
731 0.80946457 0.69976419
732 0.80946457 0.69976419
733 0.80522785 0.69220307
734 0.79563210 0.69981916
735 0.79563210 0.69981916
736 0.79042811 0.69451796
737 0.79042811 0.69451796
738 0.78307391 0.69357140
739 0.79111059 0.70111418
740 0.78553197 0.69205676
741 0.78223074 0.69732056
742 0.77651142 0.68911047
743 0.76690533 0.69626106
744 0.75693278 0.69693567
745 0.74716998 0.68964768
746 0.75355165 0.69168389
747 0.75443476 0.68392838
748 0.75443476 0.68392838
749 0.74852588 0.67860206
750 0.75431951 0.68351235
751 0.75070399 0.68529602
752 0.75628570 0.67977261
753 0.74883745 0.68732088
754 0.74388431 0.68712973
755 0.74086584 0.69499080
756 0.74567690 0.69675941
757 0.74875369 0.69133458
758 0.74875369 0.69133458
759 0.74959004 0.69015061
760 0.75311987 0.68682521
761 0.75013450 0.68917952
762 0.74252243 0.69108865
763 0.74930952 0.68402653
764 0.74700612 0.69316649
765 0.74801871 0.70298192
766 0.74801871 0.70298192
767 0.74526635 0.69647243
768 0.74526635 0.69647243
769 0.74501222 0.69513563
770 0.73873868 0.69736768
771 0.73873868 0.69736768
772 0.73873868 0.69736768
773 0.73873868 0.69736768
774 0.73657714 0.69175354
775 0.73791073 0.68572822
776 0.73791073 0.68572822
777 0.74423548 0.68773748
778 0.74423548 0.68773748
779 0.73699621 0.67940645
780 0.73451246 0.67164145
781 0.74158366 0.67471455
782 0.73228258 0.67744789
783 0.72693506 0.67833491
784 0.72620489 0.67574590
785 0.72473898 0.67779832
786 0.72605659 0.67873650
787 0.72605659 0.67873650
788 0.73458130 0.67827846
789 0.74143570 0.67513746
790 0.73370704 0.68078829
791 0.73542843 0.68280185
792 0.73790720 0.68388265
793 0.73128822 0.67457951
794 0.72712777 0.67734094
795 0.73155550 0.68183610
796 0.73523749 0.68089534
797 0.74353941 0.68627401
798 0.75237485 0.68320130
799 0.75499473 0.69081555
800 0.74916592 0.69501341
801 0.74916592 0.69501341
802 0.75225017 0.68817164
803 0.74384452 0.69470237
804 0.74476951 0.68481129
805 0.75432378 0.68668624
806 0.75437067 0.69097142
807 0.76248974 0.69999431
808 0.77065865 0.69245240
809 0.77758738 0.69173327
810 0.78317172 0.69728872
811 0.78317172 0.69728872
812 0.78408723 0.69677227
813 0.77836671 0.70336767
814 0.77591596 0.69730519
815 0.78157851 0.69660442
816 0.77885334 0.69178103
817 0.78233347 0.68556300
818 0.77594051 0.68008965
819 0.77546958 0.67868900
820 0.77228850 0.67936944
821 0.77694740 0.67011902
822 0.77711987 0.66362812
823 0.77918434 0.67312451
824 0.77449680 0.66529148
825 0.78202137 0.65886658
826 0.77773574 0.65224914
827 0.78427773 0.64540076
828 0.78776002 0.65223129
829 0.79646815 0.65590614
830 0.79889364 0.65748637
831 0.79889364 0.65748637
832 0.79351740 0.65053013
833 0.79351740 0.65053013
834 0.79175948 0.65200288
835 0.78663025 0.65548655
836 0.78916389 0.65011966
837 0.78894542 0.65385623
838 0.78361592 0.64506854
839 0.77965405 0.64506076
840 0.77135353 0.64430845
841 0.78029733 0.64127731
842 0.77275290 0.63173010
843 0.76375659 0.63890757
844 0.75817395 0.63055334
845 0.75275811 0.62415971
846 0.74655403 0.62432633
847 0.74858421 0.62895297
848 0.75606848 0.62620939
849 0.75329545 0.63189755
850 0.75624172 0.62414522
851 0.76002644 0.61571745
852 0.75164823 0.60628627
853 0.74239092 0.61571483
854 0.74477602 0.60784384
855 0.74343394 0.60619183
856 0.73494890 0.61204993
857 0.73719475 0.61696502
858 0.74158089 0.60813370
859 0.73605881 0.59991966
860 0.73540699 0.60162172
861 0.74136951 0.59262449
862 0.73367651 0.58372926
863 0.74184642 0.58877064
864 0.74184642 0.58877064
865 0.74072204 0.58882857
866 0.74678524 0.59744614
867 0.75321442 0.59298339
868 0.74382625 0.59152421
869 0.75185172 0.59800163
870 0.75718697 0.59325119
871 0.75001223 0.59529494
872 0.75142553 0.60416641
873 0.74345564 0.59779156
874 0.73813080 0.59883010
875 0.74091961 0.60042194
876 0.73317807 0.59193960
877 0.73153665 0.59210569
878 0.73036809 0.59885962
879 0.73499534 0.60544255
880 0.73531757 0.60567067
881 0.73531757 0.60567067
882 0.73098075 0.59592542
883 0.72615255 0.60501434
884 0.72277389 0.60619887
885 0.71440546 0.60216522
886 0.71311354 0.59316543
887 0.71321780 0.60247216
888 0.71321780 0.60247216
