#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         598  0.00012544    0.101146  0.00537423
         599   6.336e-05    0.100998  0.00536729
         600  0.00018624    0.100892   0.0053594
         601           0    0.100724  0.00535311
         602  0.00024576    0.100638   0.0053449
         603           0    0.100471  0.00533864
         604  0.00090304    0.100604  0.00533145
         605           0    0.100438  0.00532523
         606           0    0.100272  0.00531902
         607  0.00012544    0.100148   0.0053117
         608           0   0.0999834  0.00530552
         609   6.336e-05     0.09984  0.00529875
         610           0   0.0996763  0.00529259
         611  0.00149184    0.100002   0.0052939
         612  0.00072384    0.100075  0.00528576
         613  0.00024576   0.0999916  0.00527779
         614  0.00077056     0.10008  0.00526993
         615   6.336e-05   0.0999376  0.00526328
         616  0.00018624   0.0998358  0.00525572
         617           0    0.099674  0.00524969
         618  0.00024576   0.0995923  0.00524183
         619           0   0.0994314  0.00523583
         620  0.00018624   0.0993311  0.00522835
         621  0.00041664   0.0993053  0.00521999
         622           0   0.0991457  0.00521404
         623   6.336e-05   0.0990069  0.00520752
         624  0.00080384   0.0991058  0.00520011
         625  0.00109824   0.0992987  0.00519537
         626   6.336e-05   0.0991603  0.00518891
         627  0.00018624   0.0990616  0.00518158
         628  0.00024576   0.0989821  0.00517393
         629  0.00067584   0.0990396  0.00516603
         630  0.00012544   0.0989223  0.00515916
         631  0.00062656   0.0989641  0.00515115
         632  0.00024576   0.0988853  0.00514361
         633           0    0.098729  0.00513785
         634           0   0.0985733  0.00513211
         635  0.00139264   0.0988567  0.00513184
         636  0.00098496    0.099011  0.00512609
         637  0.00171776   0.0993949   0.0051324
         638           0   0.0992391  0.00512672
         639  0.00129536   0.0994893   0.0051248
         640  0.00086016   0.0996026  0.00511804
         641           0   0.0994472  0.00511242
         642  0.00129024   0.0996943  0.00511042
         643    0.001456   0.0999921  0.00511114
         644    0.000576    0.100016  0.00510326
         645  0.00231616    0.100579  0.00512632
         646  0.00536256    0.102083  0.00533461
         647  0.00012544    0.101964  0.00532769
         648  0.00036096    0.101918  0.00531967
         649           0    0.101761  0.00531379
         650    0.000304    0.101698  0.00530599
         651           0    0.101542  0.00530013
         652  0.00018624    0.101444  0.00529292
         653   6.336e-05    0.101308  0.00528656
         654  0.00062656    0.101344  0.00527861
         655  0.00106176    0.101514  0.00527327
         656           0    0.101359   0.0052675
         657   6.336e-05    0.101224  0.00526121
         658           0     0.10107  0.00525546
         659   6.336e-05    0.100936   0.0052492
         660  0.00156864    0.101258  0.00525114
         661           0    0.101105  0.00524543
         662  0.00047104    0.101095  0.00523752
         663  0.00149184    0.101392  0.00523806
         664           0     0.10124   0.0052324
         665  0.00018624    0.101143  0.00522541
         666  0.00018624    0.101048  0.00521845
         667   6.336e-05    0.100915  0.00521231
         668  0.00129024     0.10115  0.00520981
         669-1.15143e-15    0.100999  0.00520421
         670    0.001024    0.101154  0.00519875
         671  0.00113344    0.101341  0.00519437
         672           0     0.10119  0.00518883
         673  0.00106176    0.101355  0.00518375
         674  0.00041664    0.101329  0.00517613
         675           0    0.101179  0.00517063
         676   6.336e-05    0.101048  0.00516464
         677  0.00036096    0.101005  0.00515719
         678  0.00139264    0.101267  0.00515623
         679-1.15143e-15    0.101118  0.00515079
         680   6.336e-05    0.100988  0.00514485
         681  0.00036096    0.100945  0.00513747
         682  0.00018624    0.100852  0.00513079
         683  0.00141504    0.101119   0.0051302
         684  0.00036096    0.101076  0.00512288
         685   6.336e-05    0.100947  0.00511703
         686           0      0.1008  0.00511168
         687           0    0.100653  0.00510635
         688           0    0.100507  0.00510102
         689   6.336e-05     0.10038  0.00509521
         690  0.00144576    0.100653  0.00509516
         691  0.00052416    0.100659  0.00508779
         692           0    0.100514  0.00508252
         693  0.00106176    0.100675  0.00507775
         694           0     0.10053   0.0050725
         695  0.00167424    0.100867   0.0050764
         696  0.00018624    0.100776  0.00506993
         697    0.000304    0.100719  0.00506298
         698  0.00136896    0.100967  0.00506179
         699           0    0.100822  0.00505661
         700  0.00018624    0.100731   0.0050502
         701   6.336e-05    0.100606  0.00504456
         702  0.00012544    0.100498  0.00503852
         703   6.336e-05    0.100373   0.0050329
         704  0.00052416    0.100379  0.00502576
         705    0.001024    0.100528  0.00502081
         706           0    0.100385  0.00501572
         707  0.00012544    0.100279  0.00500975
         708  0.00062656    0.100314   0.0050028
         709  0.00062656    0.100349  0.00499587
         710   6.336e-05    0.100226  0.00499036
         711           0    0.100085  0.00498533
